19.55,40,9,5,8,0.434444,0
12.35,54,9,62,7,0.274444,1
13.75,56,9,13,6,0.305556,1
8.27,14,9,58,8,0.183778,1
13.69,12,9,73,8,0.304222,1
28.64,42,9,24,9,0.636444,0
10.84,2,9,26,8,0.240889,1
15.61,11,9,56,8,0.346889,0
18.06,71,9,76,7,0.401333,0
15.2,31,9,32,8,0.337778,0
16.84,38,9,11,8,0.374222,0
10.43,44,9,51,8,0.231778,1
10.19,73,9,74,8,0.226444,1
11.25,63,9,66,9,0.25,1
5.22,8,9,40,8,0.116,1
13.99,17,9,21,8,0.310889,1
21.1,6,9,12,9,0.468889,0
10.87,62,9,44,8,0.241556,1
9.26,10,9,53,7,0.205778,1
16.31,32,9,75,9,0.362444,0
7.91,19,9,49,9,0.175778,1
8.65,29,9,17,7,0.192222,1
14.51,28,9,34,8,0.322444,0
10.59,35,9,1,6,0.235333,1
19.29,39,9,2,8,0.428667,0
13.11,9,9,15,8,0.291333,1
13.24,67,9,72,7,0.294222,1
13.06,21,9,30,9,0.290222,1
21.88,50,9,16,8,0.486222,0
10,40,9,6,8,0.222222,1
6.03,65,9,69,7,0.134,1
14.26,47,9,25,9,0.316889,0
9.52,49,9,7,7,0.211556,1
6.92,1,9,29,9,0.153778,1
11.79,64,9,14,7,0.262,1
8.73,13,9,23,9,0.194,1
11.19,33,9,55,8,0.248667,1
17.59,37,9,79,9,0.390889,0
16.28,76,9,77,8,0.361778,0
11.96,7,9,67,9,0.265778,1
38.95,23,9,27,8,0.865556,0
15.33,4,9,19,8,0.340667,0
6.03,52,9,37,6,0.134,1
24.34,75,9,38,8,0.540889,0
25.19,34,9,52,9,0.559778,0
17.92,27,9,39,9,0.398222,0
7.63,74,9,33,9,0.169556,1
12.55,68,9,61,9,0.278889,1
20.44,16,9,3,9,0.454222,0
32.56,48,9,78,8,0.723556,0
10.04,15,9,0,9,0.223111,1
9.01,55,10,46,9,0.200222,1
16.21,45,9,4,9,0.360222,0
12.37,69,9,63,8,0.274889,1
12.18,51,10,50,10,0.270667,1
8.91,77,7,18,7,0.198,1
16.38,41,7,8,7,0.364,0
10.04,22,10,70,9,0.223111,1
17.07,59,8,36,8,0.379333,0
13.93,57,10,41,10,0.309556,1
13.49,61,10,45,10,0.299778,1
18.32,72,9,47,10,0.407111,0
12.21,3,8,9,8,0.271333,1
8.21,24,10,54,10,0.182444,1
7.45,66,9,43,9,0.165556,1
9.45,26,9,64,9,0.21,1
8.47,20,9,35,6,0.188222,1
13.44,18,8,28,8,0.298667,0
18.23,36,9,71,9,0.405111,0
16.38,30,8,48,8,0.364,0
17.23,53,10,42,10,0.382889,0
13.41,70,10,65,10,0.298,1
10.56,58,10,59,10,0.234667,1
9.43,25,8,68,8,0.209556,1
8.56,0,9,10,9,0.190222,1
17.1,60,10,57,10,0.38,0
16.24,46,9,22,9,0.360889,0
8.3,5,9,31,9,0.184444,1
23.1,78,10,60,10,0.513333,0
12.98,43,6,20,6,0.288444,1
